(371, 185)
(374, 209)
(376, 214)
(382, 225)
(384, 230)
(385, 230)
(383, 232)
(379, 225)
(375, 221)
(370, 218)
(364, 216)
(359, 220)
(353, 207)
(347, 202)
(342, 202)
(332, 191)
(332, 191)
(328, 196)
(324, 197)
(319, 195)
(317, 208)
(315, 208)
(315, 213)
(317, 219)
(319, 223)
(323, 230)
(330, 238)
(336, 241)
(336, 241)
(344, 245)
(350, 254)
(353, 257)
(357, 266)
(358, 272)
(360, 277)
(359, 281)
(358, 286)
(355, 292)
(346, 305)
(339, 311)
(339, 311)
(330, 314)
(324, 319)
(313, 321)
(302, 323)
(291, 325)
(282, 325)
(275, 327)
(269, 332)
(263, 336)
(259, 343)
(256, 355)
(256, 359)
(256, 359)
(258, 363)
(265, 368)
(275, 368)
(286, 368)
(296, 367)
(313, 363)
(331, 356)
(352, 347)
(395, 310)
(404, 300)
(412, 290)
(412, 290)
(415, 279)
(416, 272)
(418, 265)
(418, 256)
(416, 250)
(413, 246)
(411, 236)
(401, 224)
(395, 222)
(361, 208)
